date,v001,v002,v003,v004,v000,average_c,average_k
2024-01-01,0.01646197411504161,0.04097326959690008,0.06561743168980896,0.02208047707113377,0.8548668475271156,1.0,1.0647473831037066
2024-01-02,0.017633909470210478,0.07095655134713841,0.07028876621963312,0.038238454496825225,0.8028823184661927,1.0,1.1045074616990194
2024-01-03,0.017660218067106378,0.07312843919446693,0.07039363229144247,0.03940888390814171,0.7994088265388425,1.0,1.1073464950136591
2024-01-04,0.01779614974571577,0.08457421048580577,0.07093545598605533,0.04557700505263952,0.7811171787297836,1.0,1.1223061973955328
2024-01-05,0.017956560846818785,0.10015363579094022,0.07157485466299142,0.053972750537825034,0.7563421981614246,1.0,1.1426513665730544
2024-01-06,0.018041809840754337,0.11638737413149064,0.0719146571676667,0.0627211050317126,0.7309350538283756,1.0,1.1637936107086682
2024-01-07,0.018025553145915474,0.13423295125604284,0.07184985797920752,0.07233807874155872,0.7035535588772754,1.0,1.1869579928959717
2024-01-08,0.017910961177872407,0.15421011634474244,0.07139309437462889,0.08310376427329519,0.6733820638294611,1.0,1.2128217250653894
2024-01-09,0.017696685256392338,0.17611590528906565,0.07053899051428794,0.09490878435758007,0.640739634582674,1.0,1.2411202757629225
2024-01-10,0.017376901284649155,0.19976006839364754,0.06926433154722145,0.10765061351676355,0.6059480852577183,1.0,1.2716024893148297
2024-01-11,0.016947352189832267,0.22482355423150935,0.06755214878046494,0.1211573150763448,0.5695196297218487,1.0,1.3038510353563073
2024-01-12,0.016414518705915385,0.25126979792451987,0.06542827442076635,0.13540918423948609,0.5314782247093123,1.0,1.337822969141242
2024-01-13,0.01578486296850744,0.27862849897220343,0.0629184665417884,0.15015277627210938,0.49251539524539134,1.0,1.3729120471614622
2024-01-14,0.015068647628733889,0.30651062123097533,0.06006363207270471,0.165178439766534,0.45317865930105206,1.0,1.40862022595091
2024-01-15,0.014279890920089973,0.33452319032138367,0.05691964769466891,0.18027440100149258,0.4140028700623649,1.0,1.4444469793115151
2024-01-16,0.013435186749234893,0.3622459873180918,0.05355265672251478,0.19521420418185248,0.375551965028306,1.0,1.4798582039264567
2024-01-17,0.012552253913223402,0.38928110043493963,0.05003328628438875,0.20978341482002988,0.3383499445474183,1.0,1.5143495547025199
2024-01-18,0.011648965065517719,0.4152796434164686,0.04643277678010417,0.22379401826550077,0.3028445964724087,1.0,1.5474804630609365
2024-01-19,0.010742423612593734,0.4399527437873514,0.04281930239085294,0.23709034126761433,0.26939518894158765,1.0,1.5788877603247893
2024-01-20,0.009848092694521818,0.46308026486471393,0.039254499195648794,0.24955375226421925,0.23826339098089622,1.0,1.608296394478226
2024-01-21,0.008979186092996803,0.484512280943248,0.035791037330628876,0.26110345635827686,0.20961403927484956,1.0,1.6355209191340248
2024-01-22,0.008146360446769543,0.50416750853454,0.032471394159710176,0.27169564991342027,0.18351908694556007,1.0,1.6604632405226951
